URL,URL_LENGTH,NUMBER_SPECIAL_CHARACTERS,CONTENT_LENGTH,SOURCE_APP_PACKETS,REMOTE_APP_PACKETS,Result
M0_109,16,7,263,9,10,1
B0_2314,16,6,15087,17,19,0
B0_911,16,6,324,0,0,0
B0_113,17,6,162,39,37,0
B0_403,17,6,124140,61,62,0
B0_2064,18,7,NA,11,13,0
B0_462,18,6,345,14,13,0
B0_1128,19,6,324,0,0,0
M2_17,20,5,NA,2,3,1
M3_75,20,5,NA,2,1,1
B0_1013,20,6,NA,0,0,0
B0_1102,20,6,324,0,0,0
B0_22,20,7,13716,20,20,0
B0_482,20,6,3692,35,29,0
B0_869,20,7,13054,0,0,0
M0_71,21,7,957,11,10,1
M0_97,21,7,686,8,9,1
B0_2303,21,6,324,7,9,0
B0_584,21,6,15025,15,17,0
M0_69,22,7,324,11,9,1
B0_161,22,6,NA,43,42,0
B0_2122,22,6,318,8,10,0
B0_2176,22,6,224,4,6,0
B0_569,22,7,4421,16,12,0
B0_601,22,6,NA,10,10,0
B0_884,22,6,441,0,0,0
B0_905,22,6,NA,0,0,0
B0_916,22,6,6671,0,0,0
B0_102,23,6,NA,18,20,0
B0_1130,23,6,434,0,0,0
B0_1185,23,6,324,0,0,0
B0_1369,23,6,13001,0,0,0
B0_1412,23,7,3257,0,0,0
B0_2217,23,6,6748,7,4,0
B0_2240,23,7,NA,24,11,0
B0_23,23,6,NA,23,20,0
B0_241,23,6,NA,23,25,0
B0_285,23,6,NA,8,8,0
B0_465,23,6,NA,14,15,0
B0_599,23,6,NA,47,50,0
B0_614,23,6,240,10,11,0
B0_622,23,6,3985,46,45,0
B0_790,23,6,324,0,0,0
M0_175,24,8,6173,2,5,1
M0_89,24,9,319,9,10,1
B0_108,24,6,NA,96,106,0
B0_126,24,6,34,69,75,0
B0_171,24,7,NA,18,18,0
B0_2301,24,6,1778,7,9,0
B0_2313,24,6,NA,6,4,0
B0_2315,24,6,324,6,8,0
B0_282,24,8,224,23,23,0
B0_321,24,6,NA,16,16,0
B0_326,24,7,318,25,13,0
B0_483,24,7,NA,22,22,0
B0_543,24,6,345,21,25,0
B0_656,24,6,756,27,28,0
B0_1163,25,6,NA,0,0,0
B0_1308,25,7,NA,0,0,0
B0_1347,25,6,14839,0,0,0
B0_2127,25,6,324,5,4,0
B0_2224,25,6,NA,6,7,0
B0_468,25,6,NA,16,17,0
B0_568,25,6,658,15,16,0
B0_577,25,6,NA,22,17,0
B0_704,25,6,NA,42,35,0
B0_781,25,6,195,0,0,0
B0_786,25,6,324,0,0,0
B0_886,25,6,NA,0,0,0
M0_111,26,8,NA,14,14,1
M0_15,26,8,NA,11,12,1
M0_171,26,7,4166,30,30,1
M0_68,26,7,962,11,12,1
M0_70,26,7,962,11,10,1
M0_72,26,7,962,11,9,1
B0_1125,26,6,2688,0,0,0
B0_1205,26,7,NA,0,0,0
B0_1321,26,6,NA,0,0,0
B0_1374,26,6,199,0,0,0
B0_159,26,6,3548,19,19,0
B0_173,26,7,NA,30,19,0
B0_179,26,6,0,53,50,0
B0_2027,26,6,5426,9,10,0
B0_2152,26,7,NA,11,9,0
B0_2293,26,6,NA,4,6,0
B0_256,26,6,345,47,47,0
B0_258,26,7,NA,50,18,0
B0_297,26,7,NA,25,27,0
B0_660,26,6,NA,11,12,0
B0_793,26,6,NA,0,0,0
B0_859,26,6,324,0,0,0
B0_883,26,6,NA,0,0,0
B0_928,26,6,NA,0,0,0
B0_982,26,6,NA,0,0,0
M0_67,27,7,8756,44,45,1
M0_75,27,7,193,11,13,1
B0_1209,27,8,NA,0,0,0
B0_1353,27,6,324,0,0,0
B0_2085,27,6,NA,3,5,0
B0_362,27,6,NA,46,44,0
B0_453,27,6,7967,8,11,0
B0_966,27,7,11506,0,0,0
M0_21,28,9,NA,7,9,1
M0_94,28,7,324,9,9,1
B0_1020,28,8,39036,0,0,0
B0_1038,28,6,NA,0,0,0
B0_1357,28,7,NA,0,0,0
B0_1413,28,7,NA,0,0,0
B0_2061,28,7,NA,6,8,0
B0_2182,28,7,NA,8,10,0
B0_2228,28,6,324,5,6,0
B0_229,28,7,8578,29,25,0
B0_2309,28,6,10576,14,12,0
B0_310,28,7,324,23,24,0
B0_332,28,7,12846,23,27,0
B0_438,28,7,6666,70,64,0
B0_563,28,6,445,30,33,0
B0_638,28,8,NA,8,8,0
B0_695,28,7,324,39,48,0
B0_835,28,6,NA,0,0,0
B0_96,28,6,NA,30,36,0
B0_981,28,6,18438,0,0,0
M0_106,29,7,7314,40,40,1
M0_74,29,7,324,7,8,1
B0_1044,29,6,NA,0,0,0
B0_1051,29,6,0,0,0,0
B0_1095,29,8,9136,0,0,0
B0_1096,29,6,5019,0,0,0
B0_1117,29,7,NA,0,0,0
B0_1154,29,6,210,0,0,0
B0_1287,29,6,8654,0,0,0
B0_1408,29,7,238,0,0,0
B0_170,29,6,26856,30,30,0
B0_2024,29,6,324,12,9,0
B0_2089,29,7,NA,709,837,0
B0_2123,29,6,10210,5,7,0
B0_2128,29,6,13684,15,9,0
B0_2166,29,6,324,3,5,0
B0_2242,29,6,770,5,7,0
B0_2266,29,8,6813,17,15,0
B0_259,29,6,324,38,26,0
B0_44,29,6,34,12,14,0
B0_448,29,7,NA,38,36,0
B0_499,29,8,20404,37,35,0
B0_626,29,8,NA,36,33,0
